Area_slug,Area_display,Region
angeles,Angeles,Region III (Central Luzon)
aurora,Aurora,Region III (Central Luzon)
bataan,Bataan,Region III (Central Luzon)
batangas,Batangas,Region IV-A (Calabarzon)
bulacan,Bulacan,Region III (Central Luzon)
caloocan,Caloocan,NCR
cavite,Cavite,Region IV-A (Calabarzon)
laguna,Laguna,Region IV-A (Calabarzon)
las pinas,Las Piñas,NCR
lucena,Lucena,Region IV-A (Calabarzon)
makati,Makati,NCR
malabon,Malabon,NCR
mandaluyong,Mandaluyong,NCR
manila,Manila,NCR
marikina,Marikina,NCR
muntinlupa,Muntinlupa,NCR
navotas,Navotas,NCR
nueva ecija,Nueva Ecija,Region III (Central Luzon)
olongapo,Olongapo,Region III (Central Luzon)
pampanga,Pampanga,Region III (Central Luzon)
paranaque,Parañaque,NCR
pasay city,Pasay City,NCR
pasig,Pasig,NCR
pateros,Pateros,NCR
quezon,Quezon,Region IV-A (Calabarzon)
quezon city,Quezon City,NCR
rizal,Rizal,Region IV-A (Calabarzon)
san juan,San Juan,NCR
taguig,Taguig,NCR
tarlac,Tarlac,Region III (Central Luzon)
valenzuela,Valenzuela,NCR
zambales,Zambales,Region III (Central Luzon)
