Area_slug,Area_display,Region,Year,Price
angeles,Angeles,Region III (Central Luzon),2023,3961400.0
angeles,Angeles,Region III (Central Luzon),2024,3907337.078685708
angeles,Angeles,Region III (Central Luzon),2025,3996781.7554526683
angeles,Angeles,Region III (Central Luzon),2026,4085551.2732993616
angeles,Angeles,Region III (Central Luzon),2027,4173675.0504791494
angeles,Angeles,Region III (Central Luzon),2028,4261180.527232155
angeles,Angeles,Region III (Central Luzon),2029,4348093.350283399
aurora,Aurora,Region III (Central Luzon),2023,3961400.0
aurora,Aurora,Region III (Central Luzon),2024,3907337.078685708
aurora,Aurora,Region III (Central Luzon),2025,3996781.7554526683
aurora,Aurora,Region III (Central Luzon),2026,4085551.2732993616
aurora,Aurora,Region III (Central Luzon),2027,4173675.0504791494
aurora,Aurora,Region III (Central Luzon),2028,4261180.527232155
aurora,Aurora,Region III (Central Luzon),2029,4348093.350283399
bataan,Bataan,Region III (Central Luzon),2023,3961400.0
bataan,Bataan,Region III (Central Luzon),2024,3907337.078685708
bataan,Bataan,Region III (Central Luzon),2025,3996781.7554526683
bataan,Bataan,Region III (Central Luzon),2026,4085551.2732993616
bataan,Bataan,Region III (Central Luzon),2027,4173675.0504791494
bataan,Bataan,Region III (Central Luzon),2028,4261180.527232155
bataan,Bataan,Region III (Central Luzon),2029,4348093.350283399
batangas,Batangas,Region IV-A (Calabarzon),2023,14623750.0
batangas,Batangas,Region IV-A (Calabarzon),2024,14370260.815926785
batangas,Batangas,Region IV-A (Calabarzon),2025,14711158.337860102
batangas,Batangas,Region IV-A (Calabarzon),2026,15051153.825402465
batangas,Batangas,Region IV-A (Calabarzon),2027,15390330.053958496
batangas,Batangas,Region IV-A (Calabarzon),2028,15728764.593405906
batangas,Batangas,Region IV-A (Calabarzon),2029,16066530.277263153
bulacan,Bulacan,Region III (Central Luzon),2023,2182300.0
bulacan,Bulacan,Region III (Central Luzon),2024,2152517.217856268
bulacan,Bulacan,Region III (Central Luzon),2025,2201791.494149633
bulacan,Bulacan,Region III (Central Luzon),2026,2250693.8314033416
bulacan,Bulacan,Region III (Central Luzon),2027,2299240.4358713203
bulacan,Bulacan,Region III (Central Luzon),2028,2347446.4241376114
bulacan,Bulacan,Region III (Central Luzon),2029,2395325.9247547486
caloocan,Caloocan,NCR,2023,4500000.0
caloocan,Caloocan,NCR,2024,4401373.178189375
caloocan,Caloocan,NCR,2025,4469294.308953781
caloocan,Caloocan,NCR,2026,4537221.766649146
caloocan,Caloocan,NCR,2027,4605161.506210657
caloocan,Caloocan,NCR,2028,4673119.25985962
caloocan,Caloocan,NCR,2029,4741100.550158397
cavite,Cavite,Region IV-A (Calabarzon),2023,14623750.0
cavite,Cavite,Region IV-A (Calabarzon),2024,14370260.815926785
cavite,Cavite,Region IV-A (Calabarzon),2025,14711158.337860102
cavite,Cavite,Region IV-A (Calabarzon),2026,15051153.825402465
cavite,Cavite,Region IV-A (Calabarzon),2027,15390330.053958496
cavite,Cavite,Region IV-A (Calabarzon),2028,15728764.593405906
cavite,Cavite,Region IV-A (Calabarzon),2029,16066530.277263153
laguna,Laguna,Region IV-A (Calabarzon),2023,14623750.0
laguna,Laguna,Region IV-A (Calabarzon),2024,14370260.815926785
laguna,Laguna,Region IV-A (Calabarzon),2025,14711158.337860102
laguna,Laguna,Region IV-A (Calabarzon),2026,15051153.825402465
laguna,Laguna,Region IV-A (Calabarzon),2027,15390330.053958496
laguna,Laguna,Region IV-A (Calabarzon),2028,15728764.593405906
laguna,Laguna,Region IV-A (Calabarzon),2029,16066530.277263153
las pinas,Las Piñas,NCR,2023,24500000.0
las pinas,Las Piñas,NCR,2024,23963031.747919932
las pinas,Las Piñas,NCR,2025,24332824.570970584
las pinas,Las Piñas,NCR,2026,24702651.84064535
las pinas,Las Piñas,NCR,2027,25072545.97825802
las pinas,Las Piñas,NCR,2028,25442538.192569043
las pinas,Las Piñas,NCR,2029,25812658.550862387
lucena,Lucena,Region IV-A (Calabarzon),2023,14623750.0
lucena,Lucena,Region IV-A (Calabarzon),2024,14370260.815926785
lucena,Lucena,Region IV-A (Calabarzon),2025,14711158.337860102
lucena,Lucena,Region IV-A (Calabarzon),2026,15051153.825402465
lucena,Lucena,Region IV-A (Calabarzon),2027,15390330.053958496
lucena,Lucena,Region IV-A (Calabarzon),2028,15728764.593405906
lucena,Lucena,Region IV-A (Calabarzon),2029,16066530.277263153
makati,Makati,NCR,2023,78000000.0
makati,Makati,NCR,2024,76290468.42194916
makati,Makati,NCR,2025,77467768.02186553
makati,Makati,NCR,2026,78645177.2885852
makati,Makati,NCR,2027,79822799.44098471
makati,Makati,NCR,2028,81000733.83756675
makati,Makati,NCR,2029,82179076.20274556
malabon,Malabon,NCR,2023,24500000.0
malabon,Malabon,NCR,2024,23963031.747919932
malabon,Malabon,NCR,2025,24332824.570970584
malabon,Malabon,NCR,2026,24702651.84064535
malabon,Malabon,NCR,2027,25072545.97825802
malabon,Malabon,NCR,2028,25442538.192569043
malabon,Malabon,NCR,2029,25812658.550862387
mandaluyong,Mandaluyong,NCR,2023,28500000.0
mandaluyong,Mandaluyong,NCR,2024,27875363.461866044
mandaluyong,Mandaluyong,NCR,2025,28305530.623373944
mandaluyong,Mandaluyong,NCR,2026,28735737.85544459
mandaluyong,Mandaluyong,NCR,2027,29166022.87266749
mandaluyong,Mandaluyong,NCR,2028,29596421.979110926
mandaluyong,Mandaluyong,NCR,2029,30026970.151003186
manila,Manila,NCR,2023,13000000.0
manila,Manila,NCR,2024,12715078.07032486
manila,Manila,NCR,2025,12911294.670310922
manila,Manila,NCR,2026,13107529.548097532
manila,Manila,NCR,2027,13303799.906830786
manila,Manila,NCR,2028,13500122.306261124
manila,Manila,NCR,2029,13696512.700457593
marikina,Marikina,NCR,2023,9700000.0
marikina,Marikina,NCR,2024,9487404.40631932
marikina,Marikina,NCR,2025,9633812.17707815
marikina,Marikina,NCR,2026,9780233.585888159
marikina,Marikina,NCR,2027,9926681.468942972
marikina,Marikina,NCR,2028,10073168.18236407
marikina,Marikina,NCR,2029,10219705.630341435
muntinlupa,Muntinlupa,NCR,2023,28727000.0
muntinlupa,Muntinlupa,NCR,2024,28097388.286632482
muntinlupa,Muntinlupa,NCR,2025,28530981.69184784
muntinlupa,Muntinlupa,NCR,2026,28964615.486784447
muntinlupa,Muntinlupa,NCR,2027,29398327.68642523
muntinlupa,Muntinlupa,NCR,2028,29832154.88399718
muntinlupa,Muntinlupa,NCR,2029,30266132.334311176
navotas,Navotas,NCR,2023,24500000.0
navotas,Navotas,NCR,2024,23963031.747919932
navotas,Navotas,NCR,2025,24332824.570970584
navotas,Navotas,NCR,2026,24702651.84064535
navotas,Navotas,NCR,2027,25072545.97825802
navotas,Navotas,NCR,2028,25442538.192569043
navotas,Navotas,NCR,2029,25812658.550862387
nueva ecija,Nueva Ecija,Region III (Central Luzon),2023,3961400.0
nueva ecija,Nueva Ecija,Region III (Central Luzon),2024,3907337.078685708
nueva ecija,Nueva Ecija,Region III (Central Luzon),2025,3996781.7554526683
nueva ecija,Nueva Ecija,Region III (Central Luzon),2026,4085551.2732993616
nueva ecija,Nueva Ecija,Region III (Central Luzon),2027,4173675.0504791494
nueva ecija,Nueva Ecija,Region III (Central Luzon),2028,4261180.527232155
nueva ecija,Nueva Ecija,Region III (Central Luzon),2029,4348093.350283399
olongapo,Olongapo,Region III (Central Luzon),2023,3961400.0
olongapo,Olongapo,Region III (Central Luzon),2024,3907337.078685708
olongapo,Olongapo,Region III (Central Luzon),2025,3996781.7554526683
olongapo,Olongapo,Region III (Central Luzon),2026,4085551.2732993616
olongapo,Olongapo,Region III (Central Luzon),2027,4173675.0504791494
olongapo,Olongapo,Region III (Central Luzon),2028,4261180.527232155
olongapo,Olongapo,Region III (Central Luzon),2029,4348093.350283399
pampanga,Pampanga,Region III (Central Luzon),2023,3961400.0
pampanga,Pampanga,Region III (Central Luzon),2024,3907337.078685708
pampanga,Pampanga,Region III (Central Luzon),2025,3996781.7554526683
pampanga,Pampanga,Region III (Central Luzon),2026,4085551.2732993616
pampanga,Pampanga,Region III (Central Luzon),2027,4173675.0504791494
pampanga,Pampanga,Region III (Central Luzon),2028,4261180.527232155
pampanga,Pampanga,Region III (Central Luzon),2029,4348093.350283399
paranaque,Parañaque,NCR,2023,24500000.0
paranaque,Parañaque,NCR,2024,23963031.747919932
paranaque,Parañaque,NCR,2025,24332824.570970584
paranaque,Parañaque,NCR,2026,24702651.84064535
paranaque,Parañaque,NCR,2027,25072545.97825802
paranaque,Parañaque,NCR,2028,25442538.192569043
paranaque,Parañaque,NCR,2029,25812658.550862387
pasay city,Pasay City,NCR,2023,24500000.0
pasay city,Pasay City,NCR,2024,23963031.747919932
pasay city,Pasay City,NCR,2025,24332824.570970584
pasay city,Pasay City,NCR,2026,24702651.84064535
pasay city,Pasay City,NCR,2027,25072545.97825802
pasay city,Pasay City,NCR,2028,25442538.192569043
pasay city,Pasay City,NCR,2029,25812658.550862387
pasig,Pasig,NCR,2023,24500000.0
pasig,Pasig,NCR,2024,23963031.747919932
pasig,Pasig,NCR,2025,24332824.570970584
pasig,Pasig,NCR,2026,24702651.84064535
pasig,Pasig,NCR,2027,25072545.97825802
pasig,Pasig,NCR,2028,25442538.192569043
pasig,Pasig,NCR,2029,25812658.550862387
pateros,Pateros,NCR,2023,24500000.0
pateros,Pateros,NCR,2024,23963031.747919932
pateros,Pateros,NCR,2025,24332824.570970584
pateros,Pateros,NCR,2026,24702651.84064535
pateros,Pateros,NCR,2027,25072545.97825802
pateros,Pateros,NCR,2028,25442538.192569043
pateros,Pateros,NCR,2029,25812658.550862387
quezon,Quezon,Region IV-A (Calabarzon),2023,14623750.0
quezon,Quezon,Region IV-A (Calabarzon),2024,14370260.815926785
quezon,Quezon,Region IV-A (Calabarzon),2025,14711158.337860102
quezon,Quezon,Region IV-A (Calabarzon),2026,15051153.825402465
quezon,Quezon,Region IV-A (Calabarzon),2027,15390330.053958496
quezon,Quezon,Region IV-A (Calabarzon),2028,15728764.593405906
quezon,Quezon,Region IV-A (Calabarzon),2029,16066530.277263153
quezon city,Quezon City,NCR,2023,16247500.0
quezon city,Quezon City,NCR,2024,15891402.38058486
quezon city,Quezon City,NCR,2025,16136635.396605901
quezon city,Quezon City,NCR,2026,16381891.256362667
quezon city,Quezon City,NCR,2027,16627191.460479477
quezon city,Quezon City,NCR,2028,16872556.70545982
quezon city,Quezon City,NCR,2029,17118006.930821903
rizal,Rizal,Region IV-A (Calabarzon),2023,14623750.0
rizal,Rizal,Region IV-A (Calabarzon),2024,14370260.815926785
rizal,Rizal,Region IV-A (Calabarzon),2025,14711158.337860102
rizal,Rizal,Region IV-A (Calabarzon),2026,15051153.825402465
rizal,Rizal,Region IV-A (Calabarzon),2027,15390330.053958496
rizal,Rizal,Region IV-A (Calabarzon),2028,15728764.593405906
rizal,Rizal,Region IV-A (Calabarzon),2029,16066530.277263153
san juan,San Juan,NCR,2023,30000000.0
san juan,San Juan,NCR,2024,29342487.854595833
san juan,San Juan,NCR,2025,29795295.393025205
san juan,San Juan,NCR,2026,30248145.110994305
san juan,San Juan,NCR,2027,30701076.708071046
san juan,San Juan,NCR,2028,31154128.399064135
san juan,San Juan,NCR,2029,31607337.001055986
taguig,Taguig,NCR,2023,35000000.0
taguig,Taguig,NCR,2024,34232902.49702847
taguig,Taguig,NCR,2025,34761177.958529405
taguig,Taguig,NCR,2026,35289502.629493356
taguig,Taguig,NCR,2027,35817922.826082885
